x,y,z
-0.115568,1.23218,0.37123
-0.128685,1.16971,0.38173
-0.144075,1.16306,0.394222
-0.159784,1.21207,0.407116
-0.177356,1.16534,0.421277
-0.204899,1.20004,0.443753
-0.226312,1.15856,0.46105
-0.256019,1.21298,0.485335
-0.281686,1.15608,0.506051
-0.319221,1.26093,0.536829
-0.35139,1.27118,0.563001
-0.388844,1.2787,0.593462
-0.429081,1.27551,0.626158
-0.477114,1.27545,0.665198
-0.499621,1.1408,0.683144
-0.497916,1.01224,0.681427
-0.497543,0.904924,0.680847
-0.49595,0.809868,0.679307
-0.49449,0.726489,0.677906
-0.290407,-0.400877,0.503582
-0.261302,-0.411343,0.48041
-0.234116,-0.406797,0.458802
-0.209215,-0.402447,0.439011
-0.1864,-0.402279,0.420867
-0.164559,-0.40113,0.403502
-0.165322,-0.454716,0.403971
-0.41262,-1.06416,0.599076
-0.226878,-0.640499,0.452449
-0.203739,-0.614872,0.434113
-0.502735,-1.46351,0.66972
-0.51748,-1.6139,0.681062
-0.52525,-1.78505,0.686803
-0.512691,-1.96703,0.67635
-0.519839,-2.17387,0.681507
-0.466353,-2.18828,0.638935
-0.419293,-2.15499,0.601596
-0.370073,-2.1849,0.562377
-0.332687,-2.19535,0.53262
-0.296055,-2.15874,0.503582
-0.254006,-2.18645,0.470072
-0.225686,-2.20616,0.4475
-0.197515,-2.15659,0.425224
-0.173653,-2.22379,0.406076
-0.155985,-2.19607,0.392096
-0.134342,-2.21083,0.374847
-0.115158,-2.26911,0.359442
-0.099656,-2.27057,0.347111
-0.085453,-2.2988,0.335744
-0.069749,-2.29993,0.323253
0.009207,-0.442504,0.265209
0.010823,-0.439594,0.263931
0.012544,-0.432678,0.26258
0.014022,-0.432746,0.261405
0.0155,-0.432807,0.26023
0.017168,-0.423862,0.258925
0.020064,-0.42394,0.256623
0.023004,-0.417986,0.254299
0.02586,-0.416999,0.252031
0.028585,-0.396981,0.249915
0.032324,-0.376903,0.246993
0.03654,-0.345723,0.24372
0.040847,-0.364485,0.240247
0.046147,-0.370077,0.236018
0.0512,-0.369564,0.232001
0.05742,-0.367771,0.227059
0.063693,-0.366799,0.222073
0.071075,-0.364414,0.216208
0.08006,-0.382741,0.209016
0.088538,-0.376528,0.20229
0.09769,-0.382074,0.194998
0.107613,-0.382944,0.187104
0.119649,-0.38574,0.177526
0.132698,-0.374837,0.167176
0.146822,-0.3872,0.155913
0.161944,-0.399711,0.143855
0.178191,-0.394482,0.130948
0.195493,-0.390797,0.117199
0.212939,-0.382295,0.103346
0.232912,-0.411075,0.087389
0.244715,-0.426302,0.077964
0.59088,-1.09103,-0.199021
0.551469,-0.968231,-0.167366
0.475075,-0.789991,-0.106158
0.453051,-0.71124,-0.088443
0.317523,-0.472489,0.019945
0.310956,-0.453627,0.025216
0.32404,-0.461925,0.01479
0.350114,-0.497907,-0.006037
0.352819,-0.497624,-0.008188
0.408573,-0.57741,-0.05273
0.363167,-0.49553,-0.016411
0.320521,-0.429026,0.017673
0.323851,-0.422572,0.015041
0.329499,-0.426823,0.010538
0.339408,-0.436913,0.002632
0.340899,-0.43516,0.001451
0.342385,-0.433398,0.000274
0.343864,-0.431628,-0.000898
0.345337,-0.429849,-0.002065
0.351525,-0.430581,-0.006987
0.352994,-0.42876,-0.008151
0.354458,-0.426931,-0.00931
0.356813,-0.422542,-0.011172
0.358255,-0.420691,-0.012314
0.360806,-0.420234,-0.014342
0.38392,-0.441469,-0.032777
0.389196,-0.440209,-0.036969
0.377028,-0.41442,-0.027227
0.38067,-0.407839,-0.030106
0.390117,-0.407796,-0.037619
0.395264,-0.406326,-0.041708
0.404795,-0.405889,-0.049287
0.411179,-0.405459,-0.054363
0.423238,-0.407106,-0.063956
0.433546,-0.406573,-0.072153
0.45294,-0.407062,-0.087577
0.466065,-0.404475,-0.098008
0.479791,-0.40567,-0.108927
0.49491,-0.407597,-0.120954
0.510796,-0.409638,-0.133593
0.567594,-0.444718,-0.178851
0.59865,-0.456788,-0.203579
0.62583,-0.455515,-0.225191
0.647926,-0.404381,-0.242632
0.637356,-0.363728,-0.234122
0.636555,-0.32659,-0.23339
0.645698,-0.291547,-0.240572
0.639943,-0.258103,-0.235909
0.642897,-0.229166,-0.238185
0.644329,-0.203736,-0.239259
0.644505,-0.181861,-0.239342
0.644977,-0.160315,-0.239663
0.639888,-0.141251,-0.235567
0.636334,-0.12642,-0.232703
0.638759,-0.112934,-0.234597
0.636344,-0.098626,-0.23264
0.63887,-0.088635,-0.234623
0.640517,-0.078478,-0.235907
0.649857,-0.069145,-0.243311
0.650315,-0.062188,-0.243657
